stage,subset,rate,position,replicate,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson,T_实际不可用比例,A_实际不可用比例,V_实际不可用比例
best,none,0.0,random,0,0.6622127204703367,0.6256081446770873,0.6595233665354379,0.5575725436210632,0.6954642955304011,0.0,0.0020962958007180927,0.04504805869628242
best,T,0.3,random,0,0.6301443078567611,0.5948091824717522,0.6287114502783797,0.6093609929084778,0.6114650703743381,0.29916817198545975,0.0020962958007180927,0.04504805869628242
best,A,0.3,random,0,0.6718332442544094,0.6391556353191631,0.6708394103757572,0.5515135526657104,0.695270497358601,0.0,0.300573136192324,0.04504805869628242
best,V,0.3,random,0,0.6707642971672902,0.6332267950644722,0.6682938759023695,0.5506428480148315,0.6983344936033761,0.0,0.0020962958007180927,0.3313708436475547
best,AV,0.3,random,0,0.6686264029930519,0.6342163095358281,0.6671662421680131,0.5522396564483643,0.6963860835994858,0.0,0.300573136192324,0.3313708436475547
best,TAV,0.3,random,0,0.6333511491181186,0.5923303839391401,0.6288410759969587,0.601676881313324,0.6179320073400714,0.29916817198545975,0.300573136192324,0.3313708436475547
best,TAV,0.1,scattered,0,0.6648850881881346,0.6299713895121063,0.66193650361767,0.5700462460517883,0.6691927846807987,0.10229477487121161,0.1041234584420508,0.142458910372204
best,TAV,0.1,scattered,1,0.6541956173169428,0.6187146373888104,0.6516927023020358,0.5679520964622498,0.6691610438792965,0.10229477487121161,0.10427956557614683,0.14252581342967374
best,TAV,0.2,scattered,0,0.6370924639230358,0.6009154472218768,0.6354931333232877,0.5887845754623413,0.6501581352567096,0.20144510604134608,0.20300617738230636,0.23719363974933655
best,TAV,0.2,scattered,1,0.635489043292357,0.5954555109860489,0.6323270687174554,0.5978432893753052,0.6314175254219799,0.20144510604134608,0.20302847840146296,0.2375058540175286
best,TAV,0.3,scattered,0,0.6312132549438803,0.5938809613422082,0.628229668715447,0.6000547409057617,0.6195217684312937,0.29916817198545975,0.30068464128810685,0.3303895988046654
best,TAV,0.3,scattered,1,0.6290753607696419,0.5901638023538381,0.6263439076756535,0.6043695211410522,0.6111833864483414,0.29916817198545975,0.300573136192324,0.32967596619165496
