stage,subset,rate,position,replicate,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson,T_实际不可用比例,A_实际不可用比例,V_实际不可用比例
best,none,0.0,random,0,0.649919828968466,0.6295112432465187,0.6569752461854712,0.5492087602615356,0.6955277797896253,0.0,0.0020962958007180927,0.04504805869628242
best,T,0.3,random,0,0.6205237840726884,0.5927806753022853,0.6248960473335934,0.5952918529510498,0.6292933090828147,0.29916817198545975,0.0020962958007180927,0.04504805869628242
best,A,0.3,random,0,0.6461785141635489,0.627893768810577,0.6545917634365294,0.5485875606536865,0.6958748648693068,0.0,0.300573136192324,0.04504805869628242
best,V,0.3,random,0,0.6413682522715125,0.6204375322247416,0.6503252404900358,0.5475603342056274,0.6933794659705161,0.0,0.0020962958007180927,0.3313708436475547
best,AV,0.3,random,0,0.6467129877071085,0.6282227844090639,0.6561546802617845,0.5459534525871277,0.6940459441554803,0.0,0.300573136192324,0.3313708436475547
best,TAV,0.3,random,0,0.6264029930518439,0.5876959738365697,0.6244067603019635,0.5948594212532043,0.6350455146280912,0.29916817198545975,0.300573136192324,0.3313708436475547
best,TAV,0.1,scattered,0,0.6349545697487974,0.6082830525049544,0.6397223038264445,0.5567855834960938,0.6870061712285704,0.10229477487121161,0.1041234584420508,0.142458910372204
best,TAV,0.1,scattered,1,0.6312132549438803,0.6013992804741829,0.6354805271543427,0.5621705055236816,0.6828838468457729,0.10229477487121161,0.10427956557614683,0.14252581342967374
best,TAV,0.2,scattered,0,0.6215927311598076,0.5883683916854477,0.6222837209774004,0.5812822580337524,0.653781143102893,0.20144510604134608,0.20300617738230636,0.23719363974933655
best,TAV,0.2,scattered,1,0.6269374665954035,0.5936370836439012,0.6289359691507117,0.5791028738021851,0.6546881288760248,0.20144510604134608,0.20302847840146296,0.2375058540175286
best,TAV,0.3,scattered,0,0.61838588989845,0.5826659391755958,0.6171450831794111,0.6026076078414917,0.6169571392299704,0.29916817198545975,0.30068464128810685,0.3303895988046654
best,TAV,0.3,scattered,1,0.6087653661143774,0.5696819932051596,0.6065616337277412,0.6037188768386841,0.6157781746920667,0.29916817198545975,0.300573136192324,0.32967596619165496
