family,subset,rate,position,replicate,mean_text_availability,mean_deberta_weight,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson
contiguous,none,0.0,random,0,1.0,0.675,0.7017637626937466,0.6709016229063526,0.7016755655192435,0.4924424162194532,0.7732821262501043
contiguous,T,0.3,random,0,0.696204339910363,0.46993792943949503,0.6435061464457509,0.615753591312432,0.6478680989634903,0.5604532486758358,0.6842771933280043
contiguous,A,0.3,random,0,1.0,0.675,0.6985569214323891,0.6681088948487073,0.6991086510652701,0.4923273116115026,0.7728316651898078
contiguous,V,0.3,random,0,1.0,0.675,0.6990913949759487,0.6678888578872245,0.6986075514195862,0.49337198139148614,0.772852127349326
contiguous,AV,0.3,random,0,1.0,0.675,0.7001603420630679,0.6691594076785391,0.6997175920761183,0.493678133278553,0.77225032894209
contiguous,TAV,0.3,random,0,0.696204339910363,0.46993792943949503,0.6451095670764297,0.6175349844505952,0.6490062175285742,0.5619998179600522,0.6835634089058683
scattered,TAV,0.1,scattered,0,0.8886473392426061,0.5998369539887591,0.6686264029930519,0.644386289886354,0.6732365177375147,0.5246667951174032,0.7336900470184697
scattered,TAV,0.1,scattered,1,0.8886473392426061,0.5998369539887591,0.6643506146445751,0.6391334800473588,0.6694010657707391,0.5279441889612257,0.7248717225959163
scattered,TAV,0.2,scattered,0,0.7942384773905147,0.5361109722385975,0.6397648316408338,0.6145878264059382,0.6454903707999199,0.5492250178324208,0.7089718996473572
scattered,TAV,0.2,scattered,1,0.7942384773905147,0.5361109722385975,0.6483164083377873,0.6217077120370994,0.6540707147085624,0.546524456276795,0.7044137913623723
scattered,TAV,0.3,scattered,0,0.696204339910363,0.46993792943949503,0.6349545697487974,0.6083060511719659,0.6405988267294499,0.5734714936665284,0.6740055322156653
scattered,TAV,0.3,scattered,1,0.696204339910363,0.46993792943949503,0.6338856226616782,0.6137794635157966,0.6412805835512816,0.5667657879493709,0.6738221054889868
