stage,subset,rate,position,replicate,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson,T_实际不可用比例,A_实际不可用比例,V_实际不可用比例
best,none,0.0,random,0,0.6707642971672902,0.6317619889934415,0.666751449128418,0.5398355722427368,0.7129723890443351,0.0,0.0020962958007180927,0.04504805869628242
best,T,0.3,random,0,0.6333511491181186,0.5889251502209166,0.6280201121372525,0.5920108556747437,0.6333712812100741,0.29916817198545975,0.0020962958007180927,0.04504805869628242
best,A,0.3,random,0,0.6680919294494923,0.621815946515219,0.6599300120966475,0.5459272861480713,0.7116043575885407,0.0,0.300573136192324,0.04504805869628242
best,V,0.3,random,0,0.6670229823623731,0.6254172620333964,0.6610607198978834,0.5391846895217896,0.7128438137153981,0.0,0.0020962958007180927,0.3313708436475547
best,AV,0.3,random,0,0.6686264029930519,0.6254275900361027,0.6619541518466822,0.5386143922805786,0.7159042449943923,0.0,0.300573136192324,0.3313708436475547
best,TAV,0.3,random,0,0.6338856226616782,0.5833937077256732,0.6244320735666913,0.5921478867530823,0.6392687847742665,0.29916817198545975,0.300573136192324,0.3313708436475547
best,TAV,0.1,scattered,0,0.6622127204703367,0.6194471129459488,0.6564449373455212,0.5564864277839661,0.6899282786636847,0.10229477487121161,0.1041234584420508,0.142458910372204
best,TAV,0.1,scattered,1,0.652592196686264,0.6111989967215705,0.6478751901134909,0.5585687756538391,0.6832351582115256,0.10229477487121161,0.10427956557614683,0.14252581342967374
best,TAV,0.2,scattered,0,0.6370924639230358,0.5905062730297673,0.6293479362828435,0.5780760645866394,0.66199894572703,0.20144510604134608,0.20300617738230636,0.23719363974933655
best,TAV,0.2,scattered,1,0.6429716729021914,0.5947523961579547,0.6344062341569761,0.5848838090896606,0.6538385196805224,0.20144510604134608,0.20302847840146296,0.2375058540175286
best,TAV,0.3,scattered,0,0.6301443078567611,0.5802902161124766,0.6206100593184569,0.5922118425369263,0.6360333748891336,0.29916817198545975,0.30068464128810685,0.3303895988046654
best,TAV,0.3,scattered,1,0.623730625334046,0.5741148789965717,0.6142411506783136,0.6000509858131409,0.6253358168276203,0.29916817198545975,0.300573136192324,0.32967596619165496
