模型,subset,rate,position,replicate,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson,T_实际不可用比例,A_实际不可用比例,V_实际不可用比例
baseline,none,0.0,random,0,0.6671251719394773,0.6374797469775949,0.6736215954849557,0.6274363398551941,0.6694207727032527,0.0,0.0,0.06075348561257787
baseline,T,0.3,random,0,0.594222833562586,0.569218249274659,0.6028708579079604,0.7125077843666077,0.5487330714437888,0.2989617324236132,0.0,0.06075348561257787
baseline,A,0.3,random,0,0.6588720770288858,0.625757905251692,0.6644668755468788,0.6289830803871155,0.6757219016100923,0.0,0.2989617324236132,0.06075348561257787
baseline,V,0.3,random,0,0.6602475928473177,0.6336791937899972,0.6674841538345407,0.627757728099823,0.6648289519716811,0.0,0.0,0.3422129931770988
baseline,AV,0.3,random,0,0.657496561210454,0.630506800800195,0.6650932641399868,0.6264953017234802,0.6708004980325282,0.0,0.2989617324236132,0.3422129931770988
baseline,TAV,0.3,random,0,0.5997248968363136,0.5774350369333171,0.609249033868874,0.704765796661377,0.56424703280143,0.2989617324236132,0.2989617324236132,0.3422129931770988
distilled,none,0.0,random,0,0.6643741403026134,0.6307225121003849,0.6672595263603216,0.6220960021018982,0.6704833164541911,0.0,0.0,0.06075348561257787
distilled,T,0.3,random,0,0.6038514442916093,0.5702179884698699,0.6094134272199012,0.698471188545227,0.5735341109846835,0.2989617324236132,0.0,0.06075348561257787
distilled,A,0.3,random,0,0.6602475928473177,0.6218501727783395,0.6614954824340592,0.6248823404312134,0.6711438079373863,0.0,0.2989617324236132,0.06075348561257787
distilled,V,0.3,random,0,0.6602475928473177,0.6298948916584768,0.6657478074944806,0.6229057312011719,0.6652412826766697,0.0,0.0,0.3422129931770988
distilled,AV,0.3,random,0,0.657496561210454,0.6259799929960584,0.6625920563095081,0.6216145157814026,0.672081200066612,0.0,0.2989617324236132,0.3422129931770988
distilled,TAV,0.3,random,0,0.6066024759284732,0.5764303907725793,0.6119576605142172,0.6949467062950134,0.5774284333083105,0.2989617324236132,0.2989617324236132,0.3422129931770988
