model,subset,rate,position,replicate,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson
text_only,none,0.0,random,0,0.6638161411010155,0.6321950811970554,0.6646501164385278,0.5452200770378113,0.7088997297710662
fusion_only,none,0.0,random,0,0.6729021913415286,0.6305285852859462,0.6670979428570253,0.5424532294273376,0.7119197675585246
fixed_50_20,none,0.0,random,0,0.6793158738642437,0.6383691954669959,0.6746350684656739,0.5261556602275383,0.7306687676234482
zero_aware_fixed,none,0.0,random,0,0.6793158738642437,0.6383691954669959,0.6746350684656739,0.5261556602275383,0.7306687676234482
text_only,T,0.3,random,0,0.6135756280064136,0.5900254348674493,0.6208652028186473,0.5923550724983215,0.6292366462934522
fusion_only,T,0.3,random,0,0.6264029930518439,0.5869613390802324,0.6243189738690174,0.5922483801841736,0.6274886982922765
fixed_50_20,T,0.3,random,0,0.6306787814003206,0.5953617420873689,0.6321291258604709,0.5747333994558164,0.6525096145298073
zero_aware_fixed,T,0.3,random,0,0.6306787814003206,0.5953617420873689,0.6321291258604709,0.5749279992502404,0.6524051124706159
text_only,A,0.3,random,0,0.6638161411010155,0.6321950811970554,0.6646501164385278,0.5452200770378113,0.7088997297710662
fusion_only,A,0.3,random,0,0.6729021913415286,0.6353848452791526,0.6697910251485345,0.5401290059089661,0.7120649770212303
fixed_50_20,A,0.3,random,0,0.6761090326028861,0.6366713043616152,0.6719382008145282,0.5267328340335343,0.7305841056602548
zero_aware_fixed,A,0.3,random,0,0.6761090326028861,0.6366713043616152,0.6719382008145282,0.5267328340335343,0.7305841056602548
text_only,V,0.3,random,0,0.6638161411010155,0.6321950811970554,0.6646501164385278,0.5452200770378113,0.7088997297710662
fusion_only,V,0.3,random,0,0.6755745590593266,0.6320144662828703,0.669625330597847,0.5395309329032898,0.7131471729365458
fixed_50_20,V,0.3,random,0,0.6734366648850882,0.6337082746196337,0.6695192048997414,0.5281528322077453,0.7294334295200919
zero_aware_fixed,V,0.3,random,0,0.6734366648850882,0.6337082746196337,0.6695192048997414,0.5281528322077453,0.7294334295200919
text_only,AV,0.3,random,0,0.6638161411010155,0.6321950811970554,0.6646501164385278,0.5452200770378113,0.7088997297710662
fusion_only,AV,0.3,random,0,0.6766435061464458,0.6402649966202091,0.6747802456622338,0.5362906455993652,0.7149918158485981
