subset,rate,position,replicate,text_weight_mean,text_weight_20pct_count,text_observed_zero_count,zero_aware_text_weight_mean
none,0.0,random,0,0.5,0,0,0.5
T,0.3,random,0,0.49855692143238906,9,9,0.4975948690539818
A,0.3,random,0,0.5,0,0,0.5
V,0.3,random,0,0.5,0,0,0.5
AV,0.3,random,0,0.5,0,0,0.5
TAV,0.3,random,0,0.49855692143238906,9,9,0.4975948690539818
TAV,0.1,scattered,0,0.49855692143238906,9,9,0.4975948690539818
TAV,0.1,scattered,1,0.49855692143238906,9,9,0.4975948690539818
TAV,0.2,scattered,0,0.49855692143238906,9,9,0.4975948690539818
TAV,0.2,scattered,1,0.49855692143238906,9,9,0.4975948690539818
TAV,0.3,scattered,0,0.49855692143238906,9,9,0.4975948690539818
TAV,0.3,scattered,1,0.49855692143238906,9,9,0.4975948690539818
