model,subset,rate,position,replicate,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson,T_实际不可用比例,A_实际不可用比例,V_实际不可用比例
full_teacher,none,0.0,random,0,0.649919828968466,0.6318720212849573,0.6566936370046788,0.5543813705444336,0.6867910395094993,0.0,0.0020962958007180927,0.04504805869628242
full_teacher,T,0.3,random,0,0.572421165152325,0.5627711388307858,0.5846457622179043,0.6188275218009949,0.5932290874885204,0.29916817198545975,0.0020962958007180927,0.04504805869628242
full_teacher,A,0.3,random,0,0.6488508818813469,0.6288786875245392,0.6543721513112617,0.5605757832527161,0.6848754159698748,0.0,0.300573136192324,0.04504805869628242
full_teacher,V,0.3,random,0,0.6477819347942276,0.6297997268098215,0.6563774090622784,0.5517279505729675,0.6884656692678554,0.0,0.0020962958007180927,0.3313708436475547
full_teacher,AV,0.3,random,0,0.6456440406199893,0.6248669787651385,0.652196166942961,0.5718436241149902,0.6808801269935102,0.0,0.300573136192324,0.3313708436475547
full_teacher,TAV,0.3,random,0,0.6034206306787814,0.5823454138659466,0.6089607991899585,0.60953688621521,0.6045463350851263,0.29916817198545975,0.300573136192324,0.3313708436475547
full_teacher,TAV,0.1,scattered,0,0.6493853554249065,0.6283515502563842,0.6543797377654526,0.5633952617645264,0.6748050826788876,0.10229477487121161,0.1041234584420508,0.142458910372204
full_teacher,TAV,0.1,scattered,1,0.6397648316408338,0.6206664801613152,0.6458855523848867,0.570681631565094,0.6587813015115546,0.10229477487121161,0.10427956557614683,0.14252581342967374
full_teacher,TAV,0.2,scattered,0,0.623730625334046,0.604660300089146,0.6299990154765406,0.5893182754516602,0.6401148714829291,0.20144510604134608,0.20300617738230636,0.23719363974933655
full_teacher,TAV,0.2,scattered,1,0.6167824692677712,0.5978965976475844,0.6245365049235705,0.5916162133216858,0.6340023199426223,0.20144510604134608,0.20302847840146296,0.2375058540175286
full_teacher,TAV,0.3,scattered,0,0.5820416889363976,0.5662258949679713,0.5911544155017262,0.6253870129585266,0.5941226455883473,0.29916817198545975,0.30068464128810685,0.3303895988046654
full_teacher,TAV,0.3,scattered,1,0.5905932656333511,0.5748466884949847,0.5984744455991317,0.6127792596817017,0.6024025400599555,0.29916817198545975,0.300573136192324,0.32967596619165496
