model,subset,rate,position,replicate,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson
fine_student,none,0.0,random,0,0.6538461538461539,0.6414097350329325,0.6574372668307447,0.5445533394813538,0.7036950060061967
fine_student,T,0.3,random,0,0.6057692307692307,0.5910595454400753,0.6096064245670698,0.5903187394142151,0.6271536162336775
fine_student,A,0.3,random,0,0.657967032967033,0.6442463758224104,0.6613638450380138,0.5416712164878845,0.7065111286337517
fine_student,V,0.3,random,0,0.6524725274725275,0.6386671356898712,0.656342892742207,0.5441840291023254,0.7043421142923605
fine_student,AV,0.3,random,0,0.6565934065934066,0.6433883861128035,0.660441998015246,0.5391134023666382,0.7085396285184417
fine_student,TAV,0.3,random,0,0.6071428571428571,0.5950563685910983,0.6110317421335353,0.589927613735199,0.62671626236657
fine_student,TAV,0.1,scattered,0,0.6442307692307693,0.6334699852181832,0.6483393563766745,0.5500210523605347,0.6957625017109281
fine_student,TAV,0.1,scattered,1,0.6318681318681318,0.6231223365054952,0.6359502502448047,0.5587313175201416,0.6697943677657562
fine_student,TAV,0.2,scattered,0,0.6153846153846154,0.6035422855397582,0.6199179593793492,0.5684608817100525,0.6765770069213146
fine_student,TAV,0.2,scattered,1,0.5975274725274725,0.5829696027869381,0.6018109837677852,0.5902321934700012,0.6357626235595414
fine_student,TAV,0.3,scattered,0,0.6126373626373627,0.6010928330483803,0.6169380511283612,0.579545259475708,0.6527509976929796
fine_student,TAV,0.3,scattered,1,0.5989010989010989,0.5872237062420168,0.6032136818603968,0.6001054644584656,0.6253546468438579
