setting,phase,epoch,train_loss,clean_F1,clean_MAE,selection_score
conservative,teacher,1,1.1662218777144828,0.5824408647657212,0.6664827466011047,0.5157925901056107
conservative,teacher,2,0.981321549124834,0.6229476100756662,0.6024689674377441,0.5627007133318919
conservative,teacher,3,0.9168076721633353,0.6258680485130735,0.5870516300201416,0.5671628855110594
conservative,teacher,4,0.8787497311103635,0.6341849271576389,0.570921778678894,0.5770927492897494
conservative,teacher,5,0.847003510230925,0.6229940821238785,0.5749759078025818,0.5654964913436203
conservative,teacher,6,0.822307402622409,0.6365846417995881,0.569056510925293,0.5796789907070587
conservative,teacher,7,0.7915420241472197,0.636787846626133,0.5769125819206238,0.5790965884340706
conservative,teacher,8,0.7606026466299848,0.6242875838611415,0.5879372954368591,0.5654938543174556
conservative,teacher,9,0.7326631921093638,0.6183650697030526,0.6001570820808411,0.5583493614949685
conservative,teacher,10,0.6976005615257636,0.619235464166677,0.6007146835327148,0.5591639958134055
conservative,teacher,11,0.6720075306369038,0.6237009114456654,0.5931190252304077,0.5643890089226247
