model,subset,rate,position,replicate,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson,T_实际不可用比例,A_实际不可用比例,V_实际不可用比例
existing_distilled_2026,none,0.0,random,0,0.6332417582417582,0.6087100728242844,0.6300885681482696,0.5933941006660461,0.6318575501770126,0.0,0.002678779408339157,0.057069648264616815
existing_distilled_2026,T,0.3,random,0,0.5865384615384616,0.556810582315883,0.582659730835512,0.6361810564994812,0.5596308123073737,0.29984859072909387,0.002678779408339157,0.057069648264616815
existing_distilled_2026,A,0.3,random,0,0.6373626373626373,0.6121290994273815,0.6334261001882032,0.5934891700744629,0.6311097616043219,0.0,0.3017120894479385,0.057069648264616815
existing_distilled_2026,V,0.3,random,0,0.6304945054945055,0.6104509253157752,0.6305382932382982,0.5902901887893677,0.6346169186177578,0.0,0.002678779408339157,0.33979734451432564
existing_distilled_2026,AV,0.3,random,0,0.635989010989011,0.6146528029459047,0.6355916920177104,0.5922397375106812,0.6339295970272371,0.0,0.3017120894479385,0.33979734451432564
existing_distilled_2026,TAV,0.3,random,0,0.5851648351648352,0.5564540295306735,0.5809791139358341,0.6349074840545654,0.5652440599150133,0.29984859072909387,0.3017120894479385,0.33979734451432564
existing_distilled_2026,TAV,0.1,scattered,0,0.6043956043956044,0.5725662215036391,0.5982506399996111,0.6102097630500793,0.6089939458355388,0.10214302352667133,0.104530631260191,0.1531563009550431
existing_distilled_2026,TAV,0.1,scattered,1,0.6071428571428571,0.5760862797344778,0.6019305661819623,0.610453188419342,0.6144212835233638,0.10214302352667133,0.104530631260191,0.15292336361518752
existing_distilled_2026,TAV,0.2,scattered,0,0.6002747252747253,0.5754487399715837,0.5953322609528408,0.6153247952461243,0.5852540926288914,0.20119962730025623,0.20329606335895645,0.24703004891684138
existing_distilled_2026,TAV,0.2,scattered,1,0.6181318681318682,0.5910955300635701,0.6140073620751876,0.609892725944519,0.6012728824410432,0.20119962730025623,0.20329606335895645,0.24737945492662475
existing_distilled_2026,TAV,0.3,scattered,0,0.5796703296703297,0.5551030789447654,0.578663499251028,0.6364068388938904,0.5506322188686444,0.29984859072909387,0.3017120894479385,0.33979734451432564
existing_distilled_2026,TAV,0.3,scattered,1,0.5741758241758241,0.5440463532568796,0.5710147204508107,0.6296448707580566,0.5784274634855958,0.29984859072909387,0.3018285581178663,0.3390985324947589
