stage,subset,rate,position,replicate,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson,T_实际不可用比例,A_实际不可用比例,V_实际不可用比例
best,none,0.0,random,0,0.6622127204703367,0.6317717654903489,0.6646622259915533,0.5395691394805908,0.7032963825510835,0.0,0.0020962958007180927,0.04504805869628242
best,T,0.3,random,0,0.635489043292357,0.6033909657880543,0.6371398195837698,0.590656042098999,0.6250651772393342,0.29916817198545975,0.0020962958007180927,0.04504805869628242
best,A,0.3,random,0,0.6622127204703367,0.6334452289057282,0.6653771236591917,0.5415036082267761,0.7014564794003288,0.0,0.300573136192324,0.04504805869628242
best,V,0.3,random,0,0.6643506146445751,0.630970340187014,0.6654946745723881,0.5358033180236816,0.7065926012803395,0.0,0.0020962958007180927,0.3313708436475547
best,AV,0.3,random,0,0.6632816675574559,0.6288918222580118,0.6633022485455368,0.540267825126648,0.7031334323490668,0.0,0.300573136192324,0.3313708436475547
best,TAV,0.3,random,0,0.6419027258150721,0.5997763525556651,0.6373809648808736,0.5938671827316284,0.6291110296059329,0.29916817198545975,0.300573136192324,0.3313708436475547
best,TAV,0.1,scattered,0,0.6606092998396579,0.6290391383713346,0.6615158459017998,0.5547748804092407,0.6842433840475803,0.10229477487121161,0.1041234584420508,0.142458910372204
best,TAV,0.1,scattered,1,0.6557990379476216,0.6203349692724419,0.6553162012816848,0.5536964535713196,0.6840732693115129,0.10229477487121161,0.10427956557614683,0.14252581342967374
best,TAV,0.2,scattered,0,0.6397648316408338,0.6036379992742554,0.6383776412681872,0.5778858065605164,0.6616501822747075,0.20144510604134608,0.20300617738230636,0.23719363974933655
best,TAV,0.2,scattered,1,0.6451095670764297,0.6073249582467706,0.6436832627665591,0.5814005136489868,0.643706227069147,0.20144510604134608,0.20302847840146296,0.2375058540175286
best,TAV,0.3,scattered,0,0.6333511491181186,0.5934435758641246,0.6305119847265356,0.5955892205238342,0.6306747284863365,0.29916817198545975,0.30068464128810685,0.3303895988046654
best,TAV,0.3,scattered,1,0.6333511491181186,0.5946890268303453,0.6304037239058521,0.6013910174369812,0.6208310309548661,0.29916817198545975,0.300573136192324,0.32967596619165496
