stage,subset,rate,position,replicate,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson,T_实际不可用比例,A_实际不可用比例,V_实际不可用比例
best,none,0.0,random,0,0.6606092998396579,0.6347611776714693,0.6664578564371464,0.5329294204711914,0.7172980515622961,0.0,0.0020962958007180927,0.04504805869628242
best,T,0.3,random,0,0.6130411544628541,0.5842301417584386,0.6193834662345118,0.5797661542892456,0.6373632532910074,0.29916817198545975,0.0020962958007180927,0.04504805869628242
best,A,0.3,random,0,0.6606092998396579,0.6350373020948917,0.6665411928492073,0.5365925431251526,0.7158462851001899,0.0,0.300573136192324,0.04504805869628242
best,V,0.3,random,0,0.6622127204703367,0.6353442304698134,0.6676358060535722,0.5318662524223328,0.7179349866336941,0.0,0.0020962958007180927,0.3313708436475547
best,AV,0.3,random,0,0.6622127204703367,0.6366249273678718,0.6681093059382426,0.5345049500465393,0.7169806971301275,0.0,0.300573136192324,0.3313708436475547
best,TAV,0.3,random,0,0.6242650988776055,0.5870084862542527,0.6243938921634588,0.5782073140144348,0.643472554784923,0.29916817198545975,0.300573136192324,0.3313708436475547
best,TAV,0.1,scattered,0,0.6456440406199893,0.6182935880239128,0.6496455376017043,0.5532182455062866,0.6938372373176062,0.10229477487121161,0.1041234584420508,0.142458910372204
best,TAV,0.1,scattered,1,0.6440406199893105,0.617072223957516,0.6482258486926464,0.5518176555633545,0.6895816443345418,0.10229477487121161,0.10427956557614683,0.14252581342967374
best,TAV,0.2,scattered,0,0.6280064136825227,0.5985526923889736,0.6305638558001208,0.5724816918373108,0.664844243257011,0.20144510604134608,0.20300617738230636,0.23719363974933655
best,TAV,0.2,scattered,1,0.6205237840726884,0.5890573185711344,0.6234742047426493,0.5782056450843811,0.6558080208678382,0.20144510604134608,0.20302847840146296,0.2375058540175286
best,TAV,0.3,scattered,0,0.6242650988776055,0.5866728356414832,0.6244563574328931,0.5892749428749084,0.6362583792454141,0.29916817198545975,0.30068464128810685,0.3303895988046654
best,TAV,0.3,scattered,1,0.6231961517904864,0.5879623007397837,0.6226038877211514,0.5929169654846191,0.6268027657816814,0.29916817198545975,0.300573136192324,0.32967596619165496
