stage,subset,rate,position,replicate,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson,T_实际不可用比例,A_实际不可用比例,V_实际不可用比例
best,none,0.0,random,0,0.6638161411010155,0.6265137581881178,0.6632817134019581,0.5361403226852417,0.7112214401516523,0.0,0.0020962958007180927,0.04504805869628242
best,T,0.3,random,0,0.6360235168359166,0.5939173640231495,0.6324116005638019,0.5857813358306885,0.629609933290128,0.29916817198545975,0.0020962958007180927,0.04504805869628242
best,A,0.3,random,0,0.6659540352752539,0.6333276307803214,0.6681797538465722,0.5341222882270813,0.7123273061900725,0.0,0.300573136192324,0.04504805869628242
best,V,0.3,random,0,0.655264564404062,0.6182105440749978,0.6558970924883488,0.5351764559745789,0.7104570589131571,0.0,0.0020962958007180927,0.3313708436475547
best,AV,0.3,random,0,0.65793693212186,0.6281741503972159,0.6621000967524223,0.5306770205497742,0.7144342329973803,0.0,0.300573136192324,0.3313708436475547
best,TAV,0.3,random,0,0.6402993051843934,0.6014728869143499,0.6374046731476422,0.5796096920967102,0.6357011905047605,0.29916817198545975,0.300573136192324,0.3313708436475547
best,TAV,0.1,scattered,0,0.6520577231427044,0.6141814042450489,0.6512336983917926,0.5452161431312561,0.6948345389586819,0.10229477487121161,0.1041234584420508,0.142458910372204
best,TAV,0.1,scattered,1,0.640833778727953,0.6035696959027496,0.6406659720483767,0.5539754629135132,0.684233321913774,0.10229477487121161,0.10427956557614683,0.14252581342967374
best,TAV,0.2,scattered,0,0.6376269374665954,0.6001530477835749,0.6362117508246351,0.5675987601280212,0.6668461626758241,0.20144510604134608,0.20300617738230636,0.23719363974933655
best,TAV,0.2,scattered,1,0.6376269374665954,0.5984986851344875,0.6358810945546933,0.5736244916915894,0.6518743000543369,0.20144510604134608,0.20302847840146296,0.2375058540175286
best,TAV,0.3,scattered,0,0.6317477284874399,0.5924360127540061,0.6308182479048485,0.5808761715888977,0.6412897188150835,0.29916817198545975,0.30068464128810685,0.3303895988046654
best,TAV,0.3,scattered,1,0.623730625334046,0.5854063496466216,0.6217127584256957,0.5867125391960144,0.6351622330340297,0.29916817198545975,0.300573136192324,0.32967596619165496
