epoch,loss,classification_loss,regression_loss,head_lr,Negative_F1,Neutral_F1,Positive_F1,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson,sign_conflict_rate
1,1.693952396442073,1.0607946915245952,0.4692583857147906,0.00010046948356807513,0.5545454545454546,0.08823529411764706,0.6748768472906403,0.5563186813186813,0.4392191986512473,0.4925549892008889,0.7243254780769348,0.454238579411593,0.07005494505494506
2,1.4222599475036763,0.8827658404766674,0.3465456897174249,0.0002,0.6271186440677966,0.5069444444444444,0.596958174904943,0.5686813186813187,0.577007087805728,0.5827418702934266,0.6028611063957214,0.642223652572999,0.5384615384615384
3,1.2872215716491842,0.8074259767789795,0.28611315137973414,0.00019863269777109873,0.6306818181818182,0.5031185031185031,0.6645264847512039,0.603021978021978,0.5994422686838418,0.6141541359411622,0.5869344472885132,0.6489318264318741,0.41346153846153844
4,1.2139057489068295,0.7453046235400187,0.25827928880850476,0.00019457233587073176,0.6797066014669927,0.3939393939393939,0.7224546722454672,0.635989010989011,0.5987002225506179,0.6273270434148583,0.6034087538719177,0.6730399836708966,0.2032967032967033
5,1.1155544435474234,0.678130029372766,0.23174186180315107,0.0001879422863405995,0.6799116997792495,0.36177474402730375,0.723943661971831,0.6373626373626373,0.5885433685927947,0.6199468692335552,0.6322386860847473,0.6494716629703976,0.1510989010989011
6,0.9984860071833704,0.5887291702865994,0.2094959211601338,0.00017894399988070803,0.623229461756374,0.49261083743842365,0.7317073170731707,0.6387362637362637,0.6158492054226561,0.6405806818423279,0.6001822352409363,0.6420131855586202,0.3090659340659341
7,0.8827302534255623,0.49009476238293265,0.187894159656875,0.00016785088487178854,0.675531914893617,0.3564356435643564,0.7078507078507078,0.6263736263736264,0.5799394221028938,0.6098863628261894,0.6482368111610413,0.6291090858139304,0.1662087912087912
8,0.7526831674463872,0.37908877733167906,0.17279574686022992,0.000155,0.6745843230403801,0.379746835443038,0.6981919332406119,0.6222527472527473,0.58417436390801,0.611025634207643,0.6376675367355347,0.613988546717508,0.19505494505494506
9,0.6546599801997064,0.2961044679854957,0.15984926386758194,0.0001407818128993102,0.6570048309178744,0.45843828715365237,0.6666666666666666,0.6071428571428571,0.5940365949127311,0.6113035348058894,0.6296243667602539,0.6129094399639924,0.29395604395604397
10,0.592455483658213,0.2378616255353874,0.1495707557130028,0.00012562833599002375,0.6532663316582915,0.3597560975609756,0.6931506849315069,0.6071428571428571,0.5687243713835913,0.5976001617852704,0.6221222877502441,0.6246630718702413,0.2087912087912088
11,0.5361375215467713,0.20385042039301474,0.14092740899240466,0.00011000000000000002,0.656,0.33116883116883117,0.6882276843467011,0.6043956043956044,0.558465505171844,0.5888626679179256,0.6783362030982971,0.6199145405029657,0.17582417582417584
12,0.5011574386710852,0.1832527607819284,0.13559543682445943,9.437166400997628e-05,0.6461538461538462,0.41621621621621624,0.6781609195402298,0.603021978021978,0.5801769939700975,0.6028981688132882,0.6142343282699585,0.6095072639721266,0.26785714285714285
13,0.46808342236868095,0.1669967428479396,0.12379669443542408,7.921818710068983e-05,0.6469002695417789,0.41160949868073876,0.6628895184135978,0.5934065934065934,0.5737997622120385,0.5948547534432121,0.6083845496177673,0.6113467931957209,0.2802197802197802
14,0.45245230225889893,0.1552680862691481,0.11181690362872372,6.500000000000002e-05,0.6458333333333334,0.37746478873239436,0.6694560669456067,0.592032967032967,0.5642513963371115,0.588971618710223,0.6365310549736023,0.6168456184585762,0.2445054945054945
