epoch,loss,classification_loss,regression_loss,head_lr,Negative_F1,Neutral_F1,Positive_F1,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson,sign_conflict_rate
1,1.6464137476934513,1.0504659098078948,0.426487535238266,0.00010046948356807513,0.5756097560975609,0.13270142180094788,0.6826347305389222,0.5728021978021978,0.4636486361458103,0.513356058090148,0.6566886305809021,0.5742820082354969,0.11401098901098901
2,1.3370736697470078,0.8594945971394928,0.30675928378608863,0.0002,0.6537530266343826,0.42592592592592593,0.7204450625869263,0.635989010989011,0.6000413383824116,0.6271345123783438,0.5908723473548889,0.6564937464277427,0.23214285714285715
3,1.231208084894458,0.7915152847207209,0.2682155778570354,0.00019863269777109873,0.6084507042253521,0.4383561643835616,0.7010869565217391,0.6126373626373627,0.5826312750435511,0.6084694651392111,0.5937995910644531,0.6607643591404658,0.28708791208791207
4,1.1625167195785773,0.7414174398905794,0.24229464882836096,0.00019457233587073176,0.684085510688836,0.44126074498567336,0.717201166180758,0.6414835164835165,0.6141824739517558,0.638087344022473,0.5726706385612488,0.6849843911137057,0.2541208791208791
5,1.0744970496831365,0.679299277458952,0.22462574682884934,0.0001879422863405995,0.6831683168316832,0.4619164619164619,0.6759689922480621,0.6181318681318682,0.6070179236654024,0.6239049747799461,0.5636200904846191,0.6821829491497203,0.34203296703296704
6,1.01315898346789,0.6395283250461722,0.20081244603219167,0.00017894399988070803,0.6544502617801047,0.4519774011299435,0.7083333333333334,0.6318681318681318,0.6049203320811273,0.6282929428588981,0.5784017443656921,0.6744336267803751,0.26373626373626374
7,0.9381871164684564,0.5838424570403749,0.18119168468694172,0.00016785088487178854,0.6904761904761905,0.3783783783783784,0.7162162162162162,0.6401098901098901,0.595023595023595,0.6235450521164807,0.5886792540550232,0.6650096609447343,0.20054945054945056
8,0.8576365149636783,0.5328073365167832,0.16276421364694135,0.000155,0.6580310880829016,0.46851385390428213,0.6835066864784547,0.6181318681318682,0.6033505428218795,0.6219590841939331,0.5854274034500122,0.6619410445397538,0.32967032967032966
9,0.7908283451073607,0.4816673439992985,0.1486493128706032,0.0001407818128993102,0.684085510688836,0.45454545454545453,0.6777609682299546,0.6222527472527473,0.605463977821415,0.6231334973900942,0.5838776230812073,0.6588067374792107,0.30357142857142855
10,0.7216287315451483,0.4318090859153461,0.13271079333105557,0.00012562833599002375,0.6699029126213593,0.41590214067278286,0.697350069735007,0.6263736263736264,0.5943850410097163,0.6184482382612972,0.5922012329101562,0.6540760955180539,0.24313186813186813
11,0.6701764987667961,0.39017867804133277,0.12080390281765394,0.00011000000000000002,0.6718346253229974,0.4509283819628647,0.6878612716763006,0.6222527472527473,0.6035414263207209,0.6234421221487558,0.6103905439376831,0.6378657027731546,0.3159340659340659
12,0.6026196527369145,0.353741145189939,0.11323076715701623,9.437166400997628e-05,0.6494845360824743,0.45549738219895286,0.6997084548104956,0.6222527472527473,0.6015634576973076,0.6237730638510227,0.5992717742919922,0.6474778174919524,0.3269230769230769
