split,modality,kind,rate,mean_probability_drop,evaluations
validation,text,top,0.1,0.19560815014960764,48
validation,text,top,0.2,0.21998001538108358,48
validation,text,top,0.3,0.24051187131495386,48
validation,text,random,0.1,0.03158445293550597,960
validation,text,random,0.2,0.058318926886568354,960
validation,text,random,0.3,0.09429980326514541,960
validation,text,bottom,0.1,-0.08239673463328827,48
validation,text,bottom,0.2,-0.07167960449879125,48
validation,text,bottom,0.3,-0.048425937514984224,48
validation,audio,top,0.1,0.005215230875951032,48
validation,audio,top,0.2,0.006474685219786923,48
validation,audio,top,0.3,0.006100197391271635,48
validation,audio,random,0.1,-0.004878834936654828,960
validation,audio,random,0.2,-0.008731821483137607,960
validation,audio,random,0.3,-0.012416684081679905,960
validation,audio,bottom,0.1,-0.014555576719938443,48
validation,audio,bottom,0.2,-0.023349508341481796,48
validation,audio,bottom,0.3,-0.029545491630924393,48
validation,vision,top,0.1,0.010286565593457421,47
validation,vision,top,0.2,0.01588943750509524,47
validation,vision,top,0.3,0.019570076058536334,47
validation,vision,random,0.1,-0.00019911683256218564,940
validation,vision,random,0.2,0.0005493884285578713,940
validation,vision,random,0.3,0.001092097988437916,940
validation,vision,bottom,0.1,-0.006902337241238159,47
validation,vision,bottom,0.2,-0.009857671096828087,47
validation,vision,bottom,0.3,-0.011960287357253251,47
attachment4,text,top,0.1,0.23917547355730742,20
attachment4,text,top,0.2,0.30638461668148376,20
attachment4,text,top,0.3,0.3256337505293816,20
attachment4,text,random,0.1,0.03206453612827939,400
attachment4,text,random,0.2,0.0582124393296792,400
attachment4,text,random,0.3,0.09491437204396666,400
attachment4,text,bottom,0.1,-0.054846636073598076,20
attachment4,text,bottom,0.2,-0.07158194911380637,20
attachment4,text,bottom,0.3,-0.06008782879155651,20
attachment4,audio,top,0.1,0.0021729213958233684,20
attachment4,audio,top,0.2,0.0023712047602426818,20
attachment4,audio,top,0.3,0.0008367906799012642,20
attachment4,audio,random,0.1,-0.007979183419606548,400
attachment4,audio,random,0.2,-0.013009986776231705,400
attachment4,audio,random,0.3,-0.018269166938964042,400
attachment4,audio,bottom,0.1,-0.018412650614403416,20
attachment4,audio,bottom,0.2,-0.02784422176127812,20
attachment4,audio,bottom,0.3,-0.035779931174179734,20
attachment4,vision,top,0.1,0.008675288180194828,19
attachment4,vision,top,0.2,0.013401996134522497,19
attachment4,vision,top,0.3,0.016539711763236233,19
attachment4,vision,random,0.1,-0.0027587328754882724,380
attachment4,vision,random,0.2,-0.004054073129802484,380
attachment4,vision,random,0.3,-0.005525883252509762,380
attachment4,vision,bottom,0.1,-0.01138547790649472,19
attachment4,vision,bottom,0.2,-0.01746887872270001,19
attachment4,vision,bottom,0.3,-0.022509008298020088,19
